bert,1024,0,0.694
bert,1024,1,0.715
bert,1024,2,0.781
bert,1024,3,0.758
bert,1024,4,0.734
elmo,1024,0,0.956
elmo,1024,1,0.998
elmo,1024,2,0.876
elmo,1024,3,0.801
elmo,1024,4,0.646
gpt,1024,0,0.513
gpt,1024,1,1.0
gpt,1024,2,0.916
gpt,1024,3,0.775
gpt,1024,4,0.758
