bert,20_20_20,0,47.9
bert,1024_1024_1024,0,47.9
bert,1024,0,47.9
bert,20_20_20,1,97.4
bert,1024_1024_1024,1,96.0
bert,1024,1,96.7
bert,20_20_20,2,97.8
bert,1024_1024_1024,2,47.9
bert,1024,2,97.3
bert,20_20_20,3,94.9
bert,1024_1024_1024,3,47.9
bert,1024,3,47.9
bert,20_20_20,4,47.9
bert,1024_1024_1024,4,47.9
bert,1024,4,94.3
elmo,20_20_20,0,99.7
elmo,1024_1024_1024,0,47.9
elmo,1024,0,47.9
elmo,20_20_20,1,97.8
elmo,1024_1024_1024,1,47.9
elmo,1024,1,97.7
elmo,20_20_20,2,100.0
elmo,1024_1024_1024,2,47.9
elmo,1024,2,100.0
elmo,20_20_20,3,47.9
elmo,1024_1024_1024,3,47.9
elmo,1024,3,47.9
elmo,20_20_20,4,92.0
elmo,1024_1024_1024,4,47.9
elmo,1024,4,47.9
gpt,20_20_20,0,47.9
gpt,1024_1024_1024,0,47.9
gpt,1024,0,47.9
gpt,20_20_20,1,53.0
gpt,1024_1024_1024,1,47.9
gpt,1024,1,47.9
gpt,20_20_20,2,90.5
gpt,1024_1024_1024,2,47.9
gpt,1024,2,47.9
gpt,20_20_20,3,93.9
gpt,1024_1024_1024,3,47.9
gpt,1024,3,94.9
gpt,20_20_20,4,47.9
gpt,1024_1024_1024,4,94.9
gpt,1024,4,94.8
glove,20_20_20,0,47.9
glove,1024_1024_1024,0,47.9
glove,1024,0,47.9
glove,20_20_20,1,50.8
glove,1024_1024_1024,1,47.9
glove,1024,1,47.9
glove,20_20_20,2,47.9
glove,1024_1024_1024,2,82.7
glove,1024,2,88.3
glove,20_20_20,3,47.9
glove,1024_1024_1024,3,47.9
glove,1024,3,47.9
glove,20_20_20,4,47.9
glove,1024_1024_1024,4,47.9
glove,1024,4,47.9
bert,20_20_20,0,47.9
bert,1024_1024_1024,0,47.9
bert,1024,0,97.0
bert,20_20_20,1,47.9
bert,1024_1024_1024,1,47.9
bert,1024,1,96.8
bert,20_20_20,2,96.7
bert,1024_1024_1024,2,47.9
bert,1024,2,97.4
bert,20_20_20,3,95.3
bert,1024_1024_1024,3,47.9
bert,1024,3,47.9
bert,20_20_20,4,94.0
bert,1024_1024_1024,4,47.9
bert,1024,4,47.9
elmo,20_20_20,0,47.9
elmo,1024_1024_1024,0,47.9
elmo,1024,0,99.4
elmo,20_20_20,1,47.9
elmo,1024_1024_1024,1,47.9
elmo,1024,1,97.4
elmo,20_20_20,2,96.4
elmo,1024_1024_1024,2,47.9
elmo,1024,2,100.0
elmo,20_20_20,3,100.0
elmo,1024_1024_1024,3,47.9
elmo,1024,3,47.9
elmo,20_20_20,4,99.1
elmo,1024_1024_1024,4,47.9
elmo,1024,4,47.9
gpt,20_20_20,0,52.1
gpt,1024_1024_1024,0,47.9
gpt,1024,0,47.9
gpt,20_20_20,1,52.6
gpt,1024_1024_1024,1,47.9
gpt,1024,1,47.9
gpt,20_20_20,2,88.2
gpt,1024_1024_1024,2,47.9
gpt,1024,2,80.3
gpt,20_20_20,3,93.9
gpt,1024_1024_1024,3,47.9
gpt,1024,3,94.9
gpt,20_20_20,4,93.9
gpt,1024_1024_1024,4,47.9
gpt,1024,4,94.8
glove,20_20_20,0,52.1
glove,1024_1024_1024,0,47.9
glove,1024,0,47.9
glove,20_20_20,1,50.1
glove,1024_1024_1024,1,47.9
glove,1024,1,47.9
glove,20_20_20,2,47.9
glove,1024_1024_1024,2,88.3
glove,1024,2,88.3
glove,20_20_20,3,52.1
glove,1024_1024_1024,3,47.9
glove,1024,3,47.9
glove,20_20_20,4,47.9
glove,1024_1024_1024,4,47.9
glove,1024,4,47.9
bert,20_20_20,0,96.4
bert,1024_1024_1024,0,47.9
bert,1024,0,97.1
bert,20_20_20,1,97.3
bert,1024_1024_1024,1,47.9
bert,1024,1,47.9
bert,20_20_20,2,47.9
bert,1024_1024_1024,2,47.9
bert,1024,2,97.1
bert,20_20_20,3,47.9
bert,1024_1024_1024,3,47.9
bert,1024,3,95.0
bert,20_20_20,4,93.4
bert,1024_1024_1024,4,47.9
bert,1024,4,94.4
elmo,20_20_20,0,99.5
elmo,1024_1024_1024,0,47.9
elmo,1024,0,47.9
elmo,20_20_20,1,91.5
elmo,1024_1024_1024,1,47.9
elmo,1024,1,91.7
elmo,20_20_20,2,100.0
elmo,1024_1024_1024,2,100.0
elmo,1024,2,47.9
elmo,20_20_20,3,47.9
elmo,1024_1024_1024,3,47.9
elmo,1024,3,47.9
elmo,20_20_20,4,94.2
elmo,1024_1024_1024,4,47.9
elmo,1024,4,47.9
gpt,20_20_20,0,47.9
gpt,1024_1024_1024,0,47.9
gpt,1024,0,47.9
gpt,20_20_20,1,50.7
gpt,1024_1024_1024,1,47.9
gpt,1024,1,47.9
gpt,20_20_20,2,88.5
gpt,1024_1024_1024,2,47.9
gpt,1024,2,47.9
gpt,20_20_20,3,93.2
gpt,1024_1024_1024,3,47.9
gpt,1024,3,94.4
gpt,20_20_20,4,93.1
gpt,1024_1024_1024,4,47.9
gpt,1024,4,47.9
glove,20_20_20,0,47.9
glove,1024_1024_1024,0,47.9
glove,1024,0,47.9
glove,20_20_20,1,50.1
glove,1024_1024_1024,1,47.9
glove,1024,1,47.9
glove,20_20_20,2,88.3
glove,1024_1024_1024,2,88.3
glove,1024,2,88.3
glove,20_20_20,3,47.9
glove,1024_1024_1024,3,47.9
glove,1024,3,47.9
glove,20_20_20,4,50.0
glove,1024_1024_1024,4,47.9
glove,1024,4,47.7
bert,20_20_20,0,96.5
bert,1024_1024_1024,0,47.9
bert,1024,0,93.2
bert,20_20_20,1,47.9
bert,1024_1024_1024,1,47.9
bert,1024,1,47.9
bert,20_20_20,2,47.9
bert,1024_1024_1024,2,47.9
bert,1024,2,97.0
bert,20_20_20,3,94.3
bert,1024_1024_1024,3,47.9
