Task,Encoder,Classifier,Word,n,Score,ci_lower,mean,ci_upper,Target
gender,BERT,1024,chased,1,75.8,75.8,75.8,75.8,object
gender,BERT,1024,the_2,4,81.375,78.65,81.46506514382402,85.2,object
gender,BERT,1024,rat,14,90.25,89.0619375,90.28598027362013,91.53375,object
gender,BERT,1024_1024_1024,the_2,1,79.8,79.8,79.8,79.8,object
gender,BERT,20_20_20,the_1,26,67.73846153846154,66.96362440191389,67.7583014867878,68.55232789855071,object
gender,BERT,20_20_20,cat,29,77.73448275862069,76.91205592105263,77.72278673352022,78.49175000000001,object
gender,BERT,20_20_20,chased,25,80.044,79.26201724137931,80.05500428810308,80.75017857142858,object
gender,BERT,20_20_20,the_2,30,81.44,80.90433172302738,81.44169404932796,81.9486268939394,object
gender,BERT,20_20_20,rat,33,91.11212121212121,90.66467181467182,91.11467824083124,91.53516584766585,object
gender,ELMo,1024,the_1,1,62.1,62.1,62.1,62.1,object
gender,ELMo,1024,cat,1,61,61,61,61,object
gender,ELMo,1024,the_2,4,88.3,88.3,88.3,88.3,object
gender,ELMo,1024,rat,36,88.48333333333333,87.4702635135135,88.48121248783012,89.28113738738739,object
gender,ELMo,1024_1024_1024,the_2,1,88.3,88.3,88.3,88.3,object
gender,ELMo,1024_1024_1024,rat,3,85.46666666666667,77.3,85.26106187459143,90.8,object
gender,ELMo,20_20_20,the_1,13,63.56923076923077,62.91378968253968,63.56157703026659,64.1288988095238,object
gender,ELMo,20_20_20,cat,13,63.792307692307695,62.2328125,63.796271520733626,65.45053571428572,object
gender,ELMo,20_20_20,chased,30,92.63333333333334,92.32193815331011,92.62848495919967,92.87605652173914,object
gender,ELMo,20_20_20,the_2,31,85.42258064516129,82.43071594427245,85.38586125390165,87.60312499999999,object
gender,ELMo,20_20_20,rat,35,85.28571428571428,83.47023765144455,85.30183001305623,86.8930461592671,object
gender,GLoVe,1024,the_1,50,44,44,44,44,object
gender,GLoVe,1024,cat,50,44,44,44,44,object
gender,GLoVe,1024,chased,50,44.102,44,44.10481111093562,44.285745341614906,object
gender,GLoVe,1024,the_2,50,44,44,44,44,object
gender,GLoVe,1024,rat,50,95.52,90.85620608899298,95.4730347081921,98.90196078431373,object
gender,GLoVe,1024_1024_1024,the_1,50,44,44,44,44,object
gender,GLoVe,1024_1024_1024,cat,50,44,44,44,44,object
gender,GLoVe,1024_1024_1024,chased,50,44.006,44,44.00630319093881,44.020942691029894,object
gender,GLoVe,1024_1024_1024,the_2,50,44,44,44,44,object
gender,GLoVe,1024_1024_1024,rat,50,76.246,68.74238695090439,76.25318037452986,83.4254049744898,object
gender,GLoVe,20_20_20,the_1,50,44,44,44,44,object
gender,GLoVe,20_20_20,cat,50,47.362,46.21738205365403,47.35898072855513,48.683461538461536,object
gender,GLoVe,20_20_20,chased,50,48.378,47.423289215686275,48.3869532745444,49.33933298319328,object
gender,GLoVe,20_20_20,the_2,50,44,44,44,44,object
gender,GLoVe,20_20_20,rat,50,78.486,70.62211663251367,78.4883640587491,85.49699465240641,object
gender,GPT,1024,the_1,50,44,44,44,44,object
gender,GPT,1024,cat,50,44,44,44,44,object
gender,GPT,1024,chased,50,44,44,44,44,object
gender,GPT,1024,the_2,50,44,44,44,44,object
gender,GPT,1024,rat,50,70.488,63.13614042553191,70.74270952764311,78.1921875,object
gender,GPT,1024_1024_1024,the_1,50,44,44,44,44,object
gender,GPT,1024_1024_1024,cat,50,44,44,44,44,object
gender,GPT,1024_1024_1024,chased,50,44.168,44,44.17213487210681,44.586046511627906,object
gender,GPT,1024_1024_1024,the_2,50,44,44,44,44,object
gender,GPT,1024_1024_1024,rat,50,45.054,44,45.022473136021,47.513333333333335,object
gender,GPT,20_20_20,the_1,50,44,44,44,44,object
gender,GPT,20_20_20,cat,50,47.144,45.87008290816326,47.195565744588635,48.53213565387118,object
gender,GPT,20_20_20,chased,50,48.158,47.16714970930233,48.15651385231611,49.162565406976746,object
gender,GPT,20_20_20,the_2,50,47.339999999999996,46.44110391260163,47.347511364286724,48.21537123385939,object
gender,GPT,20_20_20,rat,50,79.922,73.10443452380952,80.14573330589951,86.91276889534883,object
number,BERT,1024,the_1,13,94.95384615384616,94.42975,94.94860481505705,95.45837499999999,object
number,BERT,1024,cat,11,94.73636363636363,93.89979166666667,94.73650196393004,95.57146103896103,object
number,BERT,1024,chased,18,98.25555555555556,98.11428571428571,98.25751042010309,98.41010714285714,object
number,BERT,1024,the_2,21,99.08571428571429,99.02305555555556,99.08664869196079,99.14999999999999,object
number,BERT,1024,rat,32,99.740625,99.69068829707427,99.73931956047115,99.78461538461539,object
number,BERT,1024_1024_1024,cat,2,94.65,94.1,94.64615993018054,95.2,object
number,BERT,1024_1024_1024,chased,3,97.66666666666667,97.5,97.65979137241055,98,object
number,BERT,1024_1024_1024,the_2,10,98.9,98.7,98.8985984248251,99.10022727272728,object
number,BERT,1024_1024_1024,rat,11,99.6,99.52139285714286,99.59822295891372,99.66925,object
number,BERT,20_20_20,the_1,34,94.31470588235294,94.1160258064516,94.31098132680572,94.49477226720649,object
number,BERT,20_20_20,cat,33,93.99090909090908,93.69753861788618,93.99175126793772,94.30776785714286,object
number,BERT,20_20_20,chased,35,97.48285714285714,97.37058028616853,97.47934784446423,97.59428571428572,object
number,BERT,20_20_20,the_2,35,99.02571428571429,98.96757352941177,99.02662929220048,99.08126420454545,object
number,BERT,20_20_20,rat,27,99.5925925925926,99.54090488215489,99.5921114095128,99.63850000000001,object
number,ELMo,1024,chased,7,98.21428571428571,97.12462500000001,98.21763557306643,99.14486111111111,object
number,ELMo,1024,the_2,21,100,100,100,100,object
number,ELMo,1024,rat,35,100,100,100,100,object
number,ELMo,1024_1024_1024,chased,1,96.7,96.7,96.7,96.7,object
number,ELMo,1024_1024_1024,the_2,10,100,100,100,100,object
number,ELMo,1024_1024_1024,rat,10,100,100,100,100,object
number,ELMo,20_20_20,the_1,16,78.15625,78.0125,78.1558129753204,78.27696428571429,object
number,ELMo,20_20_20,cat,28,73.21071428571429,71.79988636363636,73.21242195931111,74.32132631578948,object
number,ELMo,20_20_20,chased,29,98.7,98.45934223790323,98.69590749935514,98.8842146381579,object
number,ELMo,20_20_20,the_2,33,100,100,100,100,object
number,ELMo,20_20_20,rat,37,99.99459459459459,99.98235294117647,99.99479041831707,100,object
number,GLoVe,1024,the_1,50,46.2,46.2,46.2,46.2,object
number,GLoVe,1024,cat,50,46.318000000000005,46.21859786821705,46.31929611539777,46.4375125,object
number,GLoVe,1024,chased,50,46.278000000000006,46.2055518018018,46.2763445983459,46.37624649859944,object
number,GLoVe,1024,the_2,50,46.2,46.2,46.2,46.2,object
number,GLoVe,1024,rat,50,100,100,100,100,object
number,GLoVe,1024_1024_1024,the_1,50,46.2,46.2,46.2,46.2,object
number,GLoVe,1024_1024_1024,cat,50,46.2,46.2,46.2,46.2,object
number,GLoVe,1024_1024_1024,chased,50,46.2,46.2,46.2,46.2,object
