bert,(20, 20, 20),0,92.9
bert,(1024,1024,1024),0,97.3
bert,(1024),0,97.7
bert,(20, 20, 20),1,48.1
bert,(1024,1024,1024),1,99.5
bert,(1024),1,48.1
bert,(20, 20, 20),2,99.6
bert,(1024,1024,1024),2,48.1
bert,(1024),2,48.1
bert,(20, 20, 20),3,48.1
bert,(1024,1024,1024),3,99.3
bert,(1024),3,99.6
bert,(20, 20, 20),4,48.1
bert,(1024,1024,1024),4,48.1
bert,(1024),4,99.8
elmo,(20, 20, 20),0,48.1
elmo,(1024,1024,1024),0,48.1
elmo,(1024),0,99.5
elmo,(20, 20, 20),1,93.3
elmo,(1024,1024,1024),1,93.4
elmo,(1024),1,96.3
elmo,(20, 20, 20),2,100.0
elmo,(1024,1024,1024),2,99.7
elmo,(1024),2,100.0
elmo,(20, 20, 20),3,100.0
elmo,(1024,1024,1024),3,100.0
elmo,(1024),3,100.0
elmo,(20, 20, 20),4,86.4
elmo,(1024,1024,1024),4,48.1
elmo,(1024),4,100.0
gpt,(20, 20, 20),0,48.1
gpt,(1024,1024,1024),0,48.1
gpt,(1024),0,48.1
gpt,(20, 20, 20),1,47.7
gpt,(1024,1024,1024),1,50.6
gpt,(1024),1,48.1
gpt,(20, 20, 20),2,48.1
gpt,(1024,1024,1024),2,48.1
gpt,(1024),2,48.1
gpt,(20, 20, 20),3,48.1
gpt,(1024,1024,1024),3,97.8
gpt,(1024),3,97.8
gpt,(20, 20, 20),4,48.1
gpt,(1024,1024,1024),4,97.6
gpt,(1024),4,97.6
