bert,(20, 20, 20),0,94.9
bert,(1024,1024,1024),0,91.8
bert,(1024),0,94.2
bert,(20, 20, 20),1,92.6
bert,(1024,1024,1024),1,92.3
bert,(1024),1,93.3
bert,(20, 20, 20),2,92.2
bert,(1024,1024,1024),2,49.9
bert,(1024),2,92.4
bert,(20, 20, 20),3,87.2
bert,(1024,1024,1024),3,88.6
bert,(1024),3,89.1
bert,(20, 20, 20),4,49.9
bert,(1024,1024,1024),4,49.9
bert,(1024),4,89.5
elmo,(20, 20, 20),0,99.1
elmo,(1024,1024,1024),0,100.0
elmo,(1024),0,100.0
elmo,(20, 20, 20),1,100.0
elmo,(1024,1024,1024),1,100.0
elmo,(1024),1,100.0
elmo,(20, 20, 20),2,99.5
elmo,(1024,1024,1024),2,49.9
elmo,(1024),2,99.5
elmo,(20, 20, 20),3,49.9
elmo,(1024,1024,1024),3,49.9
elmo,(1024),3,90.3
elmo,(20, 20, 20),4,49.9
elmo,(1024,1024,1024),4,89.1
elmo,(1024),4,90.3
gpt,(20, 20, 20),0,100.0
gpt,(1024,1024,1024),0,100.0
gpt,(1024),0,100.0
gpt,(20, 20, 20),1,100.0
gpt,(1024,1024,1024),1,86.0
gpt,(1024),1,100.0
gpt,(20, 20, 20),2,80.3
gpt,(1024,1024,1024),2,86.3
gpt,(1024),2,86.9
gpt,(20, 20, 20),3,85.3
gpt,(1024,1024,1024),3,83.0
gpt,(1024),3,85.1
gpt,(20, 20, 20),4,83.1
gpt,(1024,1024,1024),4,49.9
gpt,(1024),4,83.8
