bert,20_20_20,0,0.809
bert,512,0,0.802
bert,512_512_512,0,0.798
bert,20_20_20,1,0.923
bert,512,1,0.927
bert,512_512_512,1,0.917
bert,20_20_20,2,0.819
bert,512,2,0.816
bert,512_512_512,2,0.806
bert,20_20_20,3,0.818
bert,512,3,0.831
bert,512_512_512,3,0.834
bert,20_20_20,4,0.863
bert,512,4,0.847
bert,512_512_512,4,0.852
elmo,20_20_20,0,0.825
elmo,512,0,0.766
elmo,512_512_512,0,0.786
elmo,20_20_20,1,0.921
elmo,512,1,0.932
elmo,512_512_512,1,0.864
elmo,20_20_20,2,0.934
elmo,512,2,0.932
elmo,512_512_512,2,0.921
elmo,20_20_20,3,0.926
elmo,512,3,0.922
elmo,512_512_512,3,0.92
elmo,20_20_20,4,0.712
elmo,512,4,0.693
elmo,512_512_512,4,0.693
gpt,20_20_20,0,0.524
gpt,512,0,0.524
gpt,512_512_512,0,0.524
gpt,20_20_20,1,0.931
gpt,512,1,1.0
gpt,512_512_512,1,1.0
gpt,20_20_20,2,0.983
gpt,512,2,0.989
gpt,512_512_512,2,0.994
gpt,20_20_20,3,0.972
gpt,512,3,0.977
gpt,512_512_512,3,0.959
gpt,20_20_20,4,0.967
gpt,512,4,0.972
gpt,512_512_512,4,0.935
