bert,20_20_20,0,91.9
bert,1024_1024_1024,0,95.7
bert,1024,0,96.2
bert,20_20_20,1,88.5
bert,1024_1024_1024,1,50.8
bert,1024,1,92.9
bert,20_20_20,2,50.8
bert,1024_1024_1024,2,50.8
bert,1024,2,88.3
bert,20_20_20,0,97.7
bert,1024_1024_1024,0,98.9
bert,1024,0,99.5
bert,20_20_20,1,98.2
bert,1024,1024,1024,1,97.3
bert,1024,1,93.8
bert,20_20_20,2,94.9
bert,1024_1024_1024,2,51.6
bert,1024,2,94.6
elmo,20_20_20,0,51.6
elmo,1024_1024_1024,0,51.6
elmo,1024,0,100.0
elmo,20_20_20,1,51.6
elmo,1024_1024_1024,1,100.0
elmo,1024,1,100.0
elmo,20_20_20,2,51.6
elmo,1024_1024_1024,2,99.5
elmo,1024,2,99.9
gpt,20_20_20,0,100.0
gpt,1024_1024_1024,0,100.0
gpt,1024,0,100.0
gpt,20_20_20,1,100.0
gpt,1024_1024_1024,1,100.0
gpt,1024,1,100.0
gpt,20_20_20,2,51.6
gpt,1024_1024_1024,2,51.6
gpt,1024,2,91.7
