bert,20_20_20,0,0.877
bert,512,0,0.896
bert,512_512_512,0,0.908
bert,20_20_20,1,0.977
bert,512,1,0.995
bert,512_512_512,1,0.974
bert,20_20_20,2,0.973
bert,512,2,0.99
bert,512_512_512,2,0.977
bert,20_20_20,3,0.906
bert,512,3,0.912
bert,512_512_512,3,0.912
bert,20_20_20,4,0.911
bert,512,4,0.917
bert,512_512_512,4,0.934
elmo,20_20_20,0,1.0
elmo,512,0,1.0
elmo,512_512_512,0,1.0
elmo,20_20_20,1,1.0
elmo,512,1,1.0
elmo,512_512_512,1,1.0
elmo,20_20_20,2,0.99
elmo,512,2,0.995
elmo,512_512_512,2,1.0
elmo,20_20_20,3,0.948
elmo,512,3,0.963
elmo,512_512_512,3,0.958
elmo,20_20_20,4,0.969
elmo,512,4,0.977
elmo,512_512_512,4,0.963
gpt,20_20_20,0,0.487
gpt,512,0,0.487
gpt,512_512_512,0,0.487
gpt,20_20_20,1,0.923
gpt,512,1,0.828
gpt,512_512_512,1,1.0
gpt,20_20_20,2,0.984
gpt,512,2,0.996
gpt,512_512_512,2,0.981
gpt,20_20_20,3,0.965
gpt,512,3,0.958
gpt,512_512_512,3,0.954
gpt,20_20_20,4,0.981
gpt,512,4,0.977
gpt,512_512_512,4,0.964
