bert,(20, 20, 20),0,95.71428571428571
bert,(1024,1024,1024),0,94.38775510204081
bert,(1024),0,50.0
bert,(20, 20, 20),1,96.83673469387755
bert,(1024,1024,1024),1,94.89795918367346
bert,(1024),1,96.93877551020408
bert,(20, 20, 20),2,96.42857142857143
bert,(1024,1024,1024),2,50.0
bert,(1024),2,96.12244897959184
bert,(20, 20, 20),3,96.0204081632653
bert,(1024,1024,1024),3,94.48979591836735
bert,(1024),3,96.12244897959184
bert,(20, 20, 20),4,93.16326530612245
bert,(1024,1024,1024),4,90.81632653061224
bert,(1024),4,93.16326530612245
elmo,(20, 20, 20),0,100.0
elmo,(1024,1024,1024),0,50.0
elmo,(1024),0,50.0
elmo,(20, 20, 20),1,88.77551020408163
elmo,(1024,1024,1024),1,67.95918367346938
elmo,(1024),1,99.08163265306122
elmo,(20, 20, 20),2,50.0
elmo,(1024,1024,1024),2,100.0
elmo,(1024),2,50.0
elmo,(20, 20, 20),3,100.0
elmo,(1024,1024,1024),3,99.28571428571429
elmo,(1024),3,100.0
elmo,(20, 20, 20),4,100.0
elmo,(1024,1024,1024),4,100.0
elmo,(1024),4,100.0
gpt,(20, 20, 20),0,50.0
gpt,(1024,1024,1024),0,50.0
gpt,(1024),0,50.0
gpt,(20, 20, 20),1,50.0
gpt,(1024,1024,1024),1,50.0
gpt,(1024),1,50.0
gpt,(20, 20, 20),2,98.57142857142857
gpt,(1024,1024,1024),2,97.85714285714286
gpt,(1024),2,98.57142857142857
gpt,(20, 20, 20),3,50.0
gpt,(1024,1024,1024),3,92.85714285714286
gpt,(1024),3,97.14285714285714
gpt,(20, 20, 20),4,97.55102040816327
gpt,(1024,1024,1024),4,97.65306122448979
gpt,(1024),4,98.06122448979592
