bert,20_20_20,0,29.9
bert,1024_1024_1024,0,50.8
bert,1024,0,30.6
bert,20_20_20,1,50.8
bert,1024_1024_1024,1,50.8
bert,1024,1,50.8
bert,20_20_20,2,32.3
bert,1024_1024_1024,2,50.8
bert,1024,2,50.8
bert,20_20_20,3,50.8
bert,1024_1024_1024,3,50.8
bert,1024,3,50.8
bert,20_20_20,4,38.7
bert,1024_1024_1024,4,50.8
bert,1024,4,50.8
elmo,20_20_20,0,33.4
elmo,1024_1024_1024,0,50.8
elmo,1024,0,50.8
elmo,20_20_20,1,40.6
elmo,1024_1024_1024,1,50.8
elmo,1024,1,50.8
elmo,20_20_20,2,43.4
elmo,1024_1024_1024,2,50.8
elmo,1024,2,50.8
elmo,20_20_20,3,44.2
elmo,1024_1024_1024,3,38.1
elmo,1024,3,50.8
elmo,20_20_20,4,44.8
elmo,1024_1024_1024,4,41.1
elmo,1024,4,45.0
gpt,20_20_20,0,50.8
gpt,1024_1024_1024,0,50.8
gpt,1024,0,50.8
gpt,20_20_20,1,46.8
gpt,1024_1024_1024,1,50.8
gpt,1024,1,50.8
gpt,20_20_20,2,41.4
gpt,1024_1024_1024,2,50.8
gpt,1024,2,50.8
gpt,20_20_20,3,40.9
gpt,1024_1024_1024,3,50.8
gpt,1024,3,50.8
gpt,20_20_20,4,45.6
gpt,1024_1024_1024,4,42.3
gpt,1024,4,44.0
