bert,20_20_20,0,0.726
bert,512,0,0.709
bert,512_512_512,0,0.69
bert,20_20_20,1,0.689
bert,512,1,0.705
bert,512_512_512,1,0.671
bert,20_20_20,2,0.768
bert,512,2,0.783
bert,512_512_512,2,0.794
bert,20_20_20,3,0.746
bert,512,3,0.761
bert,512_512_512,3,0.762
bert,20_20_20,4,0.737
bert,512,4,0.746
bert,512_512_512,4,0.733
elmo,20_20_20,0,0.924
elmo,512,0,0.974
elmo,512_512_512,0,0.966
elmo,20_20_20,1,0.845
elmo,512,1,0.91
elmo,512_512_512,1,0.986
elmo,20_20_20,2,0.857
elmo,512,2,0.869
elmo,512_512_512,2,0.831
elmo,20_20_20,3,0.802
elmo,512,3,0.796
elmo,512_512_512,3,0.818
elmo,20_20_20,4,0.687
elmo,512,4,0.685
elmo,512_512_512,4,0.642
gpt,20_20_20,0,0.487
gpt,512,0,0.487
gpt,512_512_512,0,0.487
gpt,20_20_20,1,0.919
gpt,512,1,1.0
gpt,512_512_512,1,1.0
gpt,20_20_20,2,0.919
gpt,512,2,0.93
gpt,512_512_512,2,0.923
gpt,20_20_20,3,0.763
gpt,512,3,0.818
gpt,512_512_512,3,0.706
gpt,20_20_20,4,0.767
gpt,512,4,0.751
gpt,512_512_512,4,0.768
