bert,20_20_20,0,45.5
bert,1024_1024_1024,0,45.5
bert,1024,0,45.5
bert,20_20_20,1,45.5
bert,1024_1024_1024,1,45.5
bert,1024,1,45.5
bert,20_20_20,2,97.1
bert,1024_1024_1024,2,45.5
bert,1024,2,45.5
bert,20_20_20,3,45.5
bert,1024_1024_1024,3,45.5
bert,1024,3,45.5
bert,20_20_20,4,93.9
bert,1024_1024_1024,4,45.5
bert,1024,4,45.5
elmo,20_20_20,0,100.0
elmo,1024_1024_1024,0,45.5
elmo,1024,0,45.5
elmo,20_20_20,1,45.5
elmo,1024_1024_1024,1,45.5
elmo,1024,1,100.0
elmo,20_20_20,2,45.5
elmo,1024_1024_1024,2,45.5
elmo,1024,2,45.5
elmo,20_20_20,3,92.4
elmo,1024_1024_1024,3,45.5
elmo,1024,3,45.5
elmo,20_20_20,4,45.5
elmo,1024_1024_1024,4,45.5
elmo,1024,4,45.5
gpt,20_20_20,0,45.5
gpt,1024_1024_1024,0,45.5
gpt,1024,0,45.5
gpt,20_20_20,1,83.6
gpt,1024_1024_1024,1,45.5
gpt,1024,1,74.5
gpt,20_20_20,2,97.5
gpt,1024_1024_1024,2,45.5
gpt,1024,2,97.1
gpt,20_20_20,3,95.5
gpt,1024_1024_1024,3,93.7
gpt,1024,3,45.5
gpt,20_20_20,4,93.2
gpt,1024_1024_1024,4,45.5
gpt,1024,4,45.5
glove,20_20_20,0,45.5
glove,1024_1024_1024,0,45.5
glove,1024,0,45.5
glove,20_20_20,1,100.0
glove,1024_1024_1024,1,45.5
glove,1024,1,100.0
glove,20_20_20,2,45.5
glove,1024_1024_1024,2,45.5
glove,1024,2,45.5
glove,20_20_20,3,45.5
glove,1024_1024_1024,3,45.5
glove,1024,3,45.5
glove,20_20_20,4,45.5
glove,1024_1024_1024,4,45.5
glove,1024,4,45.5
