bert,20_20_20,0,45.6
bert,1024_1024_1024,0,45.6
bert,1024,0,45.6
bert,20_20_20,1,45.6
bert,1024_1024_1024,1,45.6
bert,1024,1,96.6
bert,20_20_20,2,74.8
bert,1024_1024_1024,2,45.6
bert,1024,2,77.0
bert,20_20_20,3,83.9
bert,1024_1024_1024,3,45.6
bert,1024,3,80.9
bert,20_20_20,4,45.6
bert,1024_1024_1024,4,45.6
bert,1024,4,45.6
elmo,20_20_20,0,45.6
elmo,1024_1024_1024,0,45.6
elmo,1024,0,45.6
elmo,20_20_20,1,45.6
elmo,1024_1024_1024,1,45.6
elmo,1024,1,88.3
elmo,20_20_20,2,50.4
elmo,1024_1024_1024,2,45.6
elmo,1024,2,45.6
elmo,20_20_20,3,45.6
elmo,1024_1024_1024,3,45.6
elmo,1024,3,45.6
elmo,20_20_20,4,54.4
elmo,1024_1024_1024,4,45.6
elmo,1024,4,45.6
gpt,20_20_20,0,45.6
gpt,1024_1024_1024,0,45.6
gpt,1024,0,45.6
gpt,20_20_20,1,45.6
gpt,1024_1024_1024,1,100.0
gpt,1024,1,100.0
gpt,20_20_20,2,100.0
gpt,1024_1024_1024,2,100.0
gpt,1024,2,100.0
gpt,20_20_20,3,96.2
gpt,1024_1024_1024,3,93.6
gpt,1024,3,96.2
gpt,20_20_20,4,45.6
gpt,1024_1024_1024,4,97.7
gpt,1024,4,95.2
glove,20_20_20,0,45.6
glove,1024_1024_1024,0,45.6
glove,1024,0,45.6
glove,20_20_20,1,45.6
glove,1024_1024_1024,1,100.0
glove,1024,1,100.0
glove,20_20_20,2,45.6
glove,1024_1024_1024,2,45.6
glove,1024,2,45.6
glove,20_20_20,3,45.6
glove,1024_1024_1024,3,45.6
glove,1024,3,45.6
glove,20_20_20,4,45.6
glove,1024_1024_1024,4,45.6
glove,1024,4,45.6
