bert,20_20_20,0,95.9
bert,1024_1024_1024,0,47.0
bert,1024,0,47.0
bert,20_20_20,1,95.4
bert,1024_1024_1024,1,99.1
bert,1024,1,99.4
bert,20_20_20,2,94.1
bert,1024_1024_1024,2,47.0
bert,1024,2,96.3
bert,20_20_20,3,93.8
bert,1024_1024_1024,3,47.0
bert,1024,3,94.7
bert,20_20_20,4,92.7
bert,1024_1024_1024,4,47.0
bert,1024,4,93.6
elmo,20_20_20,0,47.0
elmo,1024_1024_1024,0,47.0
elmo,1024,0,47.0
elmo,20_20_20,1,100.0
elmo,1024_1024_1024,1,94.5
elmo,1024,1,100.0
elmo,20_20_20,2,51.1
elmo,1024_1024_1024,2,48.7
elmo,1024,2,47.0
elmo,20_20_20,3,47.0
elmo,1024_1024_1024,3,47.0
elmo,1024,3,47.0
elmo,20_20_20,4,50.0
elmo,1024_1024_1024,4,47.0
elmo,1024,4,47.0
gpt,20_20_20,0,47.0
gpt,1024_1024_1024,0,47.0
gpt,1024,0,47.0
gpt,20_20_20,1,84.9
gpt,1024_1024_1024,1,83.2
gpt,1024,1,84.9
gpt,20_20_20,2,94.0
gpt,1024_1024_1024,2,97.9
gpt,1024,2,98.4
gpt,20_20_20,3,87.9
gpt,1024_1024_1024,3,91.6
gpt,1024,3,95.3
gpt,20_20_20,4,90.1
gpt,1024_1024_1024,4,85.6
gpt,1024,4,93.4
glove,20_20_20,0,47.0
glove,1024_1024_1024,0,47.0
glove,1024,0,47.0
glove,20_20_20,1,100.0
glove,1024_1024_1024,1,47.0
glove,1024,1,100.0
glove,20_20_20,2,47.0
glove,1024_1024_1024,2,47.0
glove,1024,2,49.0
glove,20_20_20,3,47.0
glove,1024_1024_1024,3,47.0
glove,1024,3,47.0
glove,20_20_20,4,50.9
glove,1024_1024_1024,4,51.9
glove,1024,4,47.0
