bert,20_20_20,0,49.0
bert,1024_1024_1024,0,92.7
bert,1024,0,94.3
bert,20_20_20,1,49.0
bert,1024_1024_1024,1,94.1
bert,1024,1,96.6
bert,20_20_20,2,98.2
bert,1024_1024_1024,2,97.1
bert,1024,2,98.0
bert,20_20_20,3,98.9
bert,1024_1024_1024,3,49.0
bert,1024,3,99.5
bert,20_20_20,4,99.7
bert,1024_1024_1024,4,99.5
bert,1024,4,99.8
elmo,20_20_20,0,77.6
elmo,1024_1024_1024,0,49.0
elmo,1024,0,49.0
elmo,20_20_20,1,70.4
elmo,1024_1024_1024,1,49.0
elmo,1024,1,72.1
elmo,20_20_20,2,97.7
elmo,1024_1024_1024,2,49.0
elmo,1024,2,99.1
elmo,20_20_20,3,100.0
elmo,1024_1024_1024,3,100.0
elmo,1024,3,100.0
elmo,20_20_20,4,49.0
elmo,1024_1024_1024,4,100.0
elmo,1024,4,100.0
gpt,20_20_20,0,49.0
gpt,1024_1024_1024,0,49.0
gpt,1024,0,49.0
gpt,20_20_20,1,51.0
gpt,1024_1024_1024,1,49.0
gpt,1024,1,49.0
gpt,20_20_20,2,48.6
gpt,1024_1024_1024,2,49.0
gpt,1024,2,49.0
gpt,20_20_20,3,47.4
gpt,1024_1024_1024,3,49.0
gpt,1024,3,49.0
gpt,20_20_20,4,66.7
gpt,1024_1024_1024,4,66.8
gpt,1024,4,67.1
glove,20_20_20,0,49.0
glove,1024_1024_1024,0,49.0
glove,1024,0,49.0
glove,20_20_20,1,50.8
glove,1024_1024_1024,1,49.0
glove,1024,1,49.4
glove,20_20_20,2,47.1
glove,1024_1024_1024,2,49.0
glove,1024,2,49.4
glove,20_20_20,3,49.0
glove,1024_1024_1024,3,49.0
glove,1024,3,49.0
glove,20_20_20,4,100.0
glove,1024_1024_1024,4,100.0
glove,1024,4,100.0
