bert,0,0.798
bert,1,0.926
bert,2,0.806
bert,3,0.824
bert,4,0.86
elmo,0,0.763
elmo,1,0.934
elmo,2,0.934
elmo,3,0.923
elmo,4,0.699
gpt,0,0.476
gpt,1,1
gpt,2,0.986
gpt,3,0.977
gpt,4,0.963
glove,0,0.5
glove,1,1
glove,2,0.5
glove,3,0.5
glove,4,0.5
