Task,Encoder,Classifier,Word,n,Score,ci_lower,mean,ci_upper,Target
gender,ELMo,20_20_20,the_2,18,93.4,93.06354545454545,93.39778861673047,93.61002777777779,object
gender,ELMo,20_20_20,rat,30,87.62333333333333,86.44174423963133,87.59597974870906,88.6,object
gender,GLoVe,1024,the_1,50,44,44,44,44,object
gender,GLoVe,1024,cat,50,44,44,44,44,object
gender,GLoVe,1024,chased,50,44.016,44,44.01637107639033,44.054577167019026,object
gender,GLoVe,1024,the_2,50,44,44,44,44,object
gender,GLoVe,1024,rat,50,94.172,89.0338164893617,94.17614951653552,98.485869565217385,object
gender,GLoVe,1024_1024_1024,the_1,50,44,44,44,44,object
gender,GLoVe,1024_1024_1024,cat,50,44,44,44,44,object
gender,GLoVe,1024_1024_1024,chased,50,44,44,44,44,object
gender,GLoVe,1024_1024_1024,the_2,50,44,44,44,44,object
gender,GLoVe,1024_1024_1024,rat,50,71.312,64.11965277777779,71.22427208034821,79.7770011148272,object
gender,GLoVe,20_20_20,the_1,50,44,44,44,44,object
gender,GLoVe,20_20_20,cat,50,46.688,45.503769181585675,46.65889372699805,47.911,object
gender,GLoVe,20_20_20,chased,50,45.466,45.066530612244904,45.46428926912413,45.918428996598635,object
gender,GLoVe,20_20_20,the_2,50,44,44,44,44,object
gender,GLoVe,20_20_20,rat,50,78.492,70.83068181818182,78.59629710553399,85.80933333333333,object
gender,GPT,1024,the_1,50,44,44,44,44,object
gender,GPT,1024,cat,50,44,44,44,44,object
gender,GPT,1024,chased,50,44,44,44,44,object
gender,GPT,1024,the_2,50,44.01,44,44.00991308942566,44.033362068965516,object
gender,GPT,1024,rat,50,67.51,60.49717592592592,67.22561497528395,74.32132160392798,object
gender,GPT,1024_1024_1024,the_1,50,44,44,44,44,object
gender,GPT,1024_1024_1024,cat,50,44.124,44,44.12837858482273,44.31967261904762,object
gender,GPT,1024_1024_1024,chased,50,44,44,44,44,object
gender,GPT,1024_1024_1024,the_2,50,44,44,44,44,object
gender,GPT,1024_1024_1024,rat,50,47.102,44,47.11096689643101,50.87275219298245,object
gender,GPT,20_20_20,the_1,50,44,44,44,44,object
gender,GPT,20_20_20,cat,50,46.374,45.45784017595309,46.38094585100018,47.45110302351625,object
gender,GPT,20_20_20,chased,50,45.936,45.21059568230278,45.929556902091456,46.685142441860464,object
gender,GPT,20_20_20,the_2,50,45.744,45.111549418604646,45.74953583125532,46.44874493243243,object
gender,GPT,20_20_20,rat,50,72.742,65.6694927536232,72.62108818131458,79.76067826935588,object
number,BERT,1024,the_1,13,95.96923076923078,95.10833333333333,95.92209676928714,96.66383116883118,object
number,BERT,1024,cat,10,93.37,92.18275000000001,93.35943920456478,94.61675000000001,object
number,BERT,1024,chased,14,96.00714285714285,95.42191666666668,96.00563678284597,96.66023076923076,object
number,BERT,1024,the_2,24,97.86666666666666,97.67643382352941,97.86698226309018,98.058375,object
number,BERT,1024,rat,36,99.96944444444445,99.953328125,99.96974520630839,99.98484848484848,object
number,BERT,1024_1024_1024,the_1,2,91.9,91.8,91.89993877551021,92,object
number,BERT,1024_1024_1024,the_2,1,97.5,97.5,97.5,97.5,object
number,BERT,1024_1024_1024,rat,7,99.94285714285715,99.9,99.94389185000954,99.98584821428571,object
number,BERT,20_20_20,the_1,29,94.41724137931034,94.08250776397514,94.41836662969432,94.79545948616601,object
number,BERT,20_20_20,cat,34,91.77058823529411,91.55,91.76792038444354,92.01035714285715,object
number,BERT,20_20_20,chased,34,95.1735294117647,95.00242612570356,95.18071338128874,95.36428968253968,object
number,BERT,20_20_20,the_2,31,97.33870967741936,97.20310639880952,97.34009737480096,97.47938115763547,object
number,BERT,20_20_20,rat,38,99.96052631578948,99.94444444444444,99.9600453436595,99.97441984166254,object
number,ELMo,1024,chased,1,90.6,90.6,90.6,90.6,object
number,ELMo,1024,the_2,16,99.05,98.81890476190476,99.04755150709852,99.23571428571428,object
number,ELMo,1024,rat,38,100,100,100,100,object
number,ELMo,1024_1024_1024,the_1,1,72.4,72.4,72.4,72.4,object
number,ELMo,1024_1024_1024,the_2,5,99.28,99.2,99.27768511079505,99.35,object
number,ELMo,1024_1024_1024,rat,5,100,100,100,100,object
number,ELMo,20_20_20,the_1,20,69.255,68.91873579545454,69.25742685962268,69.60724206349207,object
number,ELMo,20_20_20,cat,5,61.46,60.65,61.46188099012546,62.6,object
number,ELMo,20_20_20,chased,34,90.93529411764706,90.71209595959597,90.93252228505172,91.18444304435484,object
number,ELMo,20_20_20,the_2,34,99.08529411764707,98.97922758620689,99.0825226895025,99.16971130221131,object
number,ELMo,20_20_20,rat,35,100,100,100,100,object
number,GLoVe,1024,the_1,50,49.1,49.1,49.1,49.1,object
number,GLoVe,1024,cat,50,49.1,49.1,49.1,49.1,object
number,GLoVe,1024,chased,50,49.08,49.04897305075877,49.08016372310457,49.1,object
number,GLoVe,1024,the_2,50,49.1,49.1,49.1,49.1,object
number,GLoVe,1024,rat,50,97.964,94.58510638297872,98.01731773788947,100,object
number,GLoVe,1024_1024_1024,the_1,50,49.1,49.1,49.1,49.1,object
number,GLoVe,1024_1024_1024,cat,50,49.116,49.1,49.11553234029056,49.153333333333336,object
number,GLoVe,1024_1024_1024,chased,50,49.1,49.1,49.1,49.1,object
number,GLoVe,1024_1024_1024,the_2,50,49.1,49.1,49.1,49.1,object
number,GLoVe,1024_1024_1024,rat,50,80.404,74.29712254500818,80.43365894319857,87.04202083333334,object
number,GLoVe,20_20_20,the_1,50,49.1,49.1,49.1,49.1,object
number,GLoVe,20_20_20,cat,50,50.07,49.761022727272724,50.07390922124438,50.407143234672304,object
number,GLoVe,20_20_20,chased,50,50.038000000000004,49.821996875,50.041814669282665,50.264593749999996,object
number,GLoVe,20_20_20,the_2,50,49.1,49.1,49.1,49.1,object
number,GLoVe,20_20_20,rat,50,80.446,73.24876117103236,80.53402429778794,87.16497767857143,object
number,GPT,1024,the_1,50,49.1,49.1,49.1,49.1,object
number,GPT,1024,cat,50,49.1,49.1,49.1,49.1,object
number,GPT,1024,chased,50,49.074,49.04736602870813,49.07430925575631,49.09434224318658,object
number,GPT,1024,the_2,50,49.094,49.08,49.094158860223274,49.1,object
number,GPT,1024,rat,50,78.622,71.83954491725768,78.69279662754856,85.15587701612903,object
number,GPT,1024_1024_1024,the_1,50,49.1,49.1,49.1,49.1,object
number,GPT,1024_1024_1024,cat,50,49.164,49.1,49.16389228355706,49.30869565217392,object
number,GPT,1024_1024_1024,chased,50,49.104,49.083921266233766,49.10461756965372,49.132610785953176,object
number,GPT,1024_1024_1024,the_2,50,49.1,49.1,49.1,49.1,object
number,GPT,1024_1024_1024,rat,50,54.19,50.138775510204084,54.20539123880144,58.92620423340961,object
number,GPT,20_20_20,the_1,50,49.1,49.1,49.1,49.1,object
number,GPT,20_20_20,cat,50,50.458,50.06953661327231,50.46075891680835,50.88097826086957,object
number,GPT,20_20_20,chased,50,49.228,48.98459302325581,49.21923586976555,49.467523026315796,object
number,GPT,20_20_20,the_2,50,49.5,49.246976102941176,49.500463181350334,49.7773089941973,object
number,GPT,20_20_20,rat,50,82.664,75.78567567567566,82.63814449398663,89.15782882011605,object
animacy,BERT,1024,the_1,26,99.75384615384615,99.6962801932367,99.75399849395029,99.80454545454545,subject
animacy,BERT,1024,cat,30,100,100,100,100,subject
animacy,BERT,1024,chased,16,99.22500000000001,99.09401470588234,99.22523622595305,99.33530462184875,subject
animacy,BERT,1024,the_2,15,98.36666666666667,98.02493055555556,98.36703122031831,98.68805,subject
animacy,BERT,1024,rat,14,99.39285714285714,99.32000000000001,99.39335515418453,99.4777976190476,subject
animacy,BERT,1024_1024_1024,the_1,5,99.78,99.73333333333333,99.78045995447656,99.8,subject
animacy,BERT,1024_1024_1024,cat,6,100,100,100,100,subject
animacy,BERT,1024_1024_1024,chased,6,99.05,98.9,99.05107169544014,99.2,subject
animacy,BERT,1024_1024_1024,the_2,2,98.4,98.3,98.40108812260536,98.5,subject
animacy,BERT,1024_1024_1024,rat,2,99.15,99.1,99.14942231896521,99.2,subject
animacy,BERT,20_20_20,the_1,28,99.77857142857142,99.73333333333333,99.77913357141333,99.815,subject
animacy,BERT,20_20_20,cat,33,100,100,100,100,subject
animacy,BERT,20_20_20,chased,26,99.11923076923077,99.07186383928571,99.11825813740732,99.16429147465438,subject
animacy,BERT,20_20_20,the_2,23,98.97391304347826,98.88998684210526,98.97478650959766,99.04587171052631,subject
animacy,BERT,20_20_20,rat,31,99.2741935483871,99.22972722722723,99.27365872547846,99.31853174603175,subject
animacy,ELMo,1024,the_1,30,100,100,100,100,subject
animacy,ELMo,1024,cat,32,100,100,100,100,subject
animacy,ELMo,1024,chased,14,99.32857142857142,98.99229166666666,99.32470164591942,99.62730519480519,subject
animacy,ELMo,1024,the_2,5,98.12,97.72,98.11985129849408,98.53333333333333,subject
animacy,ELMo,1024,rat,2,74.9,71.2,74.94623975636766,78.6,subject
animacy,ELMo,1024_1024_1024,the_1,3,100,100,100,100,subject
animacy,ELMo,1024_1024_1024,cat,13,100,100,100,100,subject
animacy,ELMo,1024_1024_1024,chased,1,99.6,99.6,99.6,99.6,subject
animacy,ELMo,1024_1024_1024,the_2,1,96.4,96.4,96.4,96.4,subject
animacy,ELMo,20_20_20,the_1,24,98.99583333333334,97.99089826839827,98.98382442591259,99.75421250000001,subject
animacy,ELMo,20_20_20,cat,31,98.02903225806452,96.83973529411765,98.00043604697682,99.10270656370656,subject
animacy,ELMo,20_20_20,chased,32,99.60625,99.53075757575756,99.60602562081067,99.67106203007519,subject
animacy,ELMo,20_20_20,the_2,23,98.2304347826087,98.0703298611111,98.22875091885743,98.37200555555555,subject
animacy,ELMo,20_20_20,rat,29,96.4103448275862,96.19391849529781,96.40611961171845,96.60460423197493,subject
animacy,GLoVe,1024,the_1,50,54.9,54.9,54.9,54.9,subject
animacy,GLoVe,1024,cat,50,80.156,73.94222222222223,80.19714131531053,86.22080615942029,subject
animacy,GLoVe,1024,chased,50,54.9,54.9,54.9,54.9,subject
animacy,GLoVe,1024,the_2,50,54.9,54.9,54.9,54.9,subject
animacy,GLoVe,1024,rat,50,55.056,54.90713474025974,55.05191029664871,55.2280627118644,subject
