Task,Encoder,Classifier,Word,n,Accuracy,ci_lower,mean,ci_upper
object,ELMo,20_20_20,rat,50,62.478,60.28816964285715,62.47112448180305,64.73149444444445
object,GPT,1024,the_1,50,3.308,3.30188679245283,3.3079203040706426,3.316424129353234
object,GPT,1024,rat,50,62.902,60.51960260538641,62.88782200007697,65.61796613712374
object,GPT,1024_1024_1024,the_1,50,3.818,3.599947916666667,3.814219332116274,4.049044117647059
object,GPT,1024_1024_1024,rat,49,26.09795918367347,23.462582926829267,26.137468659375685,29.173495762711863
object,GPT,20_20_20,the_1,50,3.736,3.5767549603174604,3.7454185677384073,3.920028846153846
object,GPT,20_20_20,rat,50,54.414,52.592661772025885,54.45032749953957,56.13532818532819
subject,BERT,1024,the_1,50,59.37,57.16269596864502,59.38199462453243,61.660729729729724
subject,BERT,1024,cat,50,65.796,63.36945874001774,65.82033159858595,68.12426175548589
subject,BERT,1024,chased,50,63.102,60.512724297266075,63.01974756204216,65.55941466552315
subject,BERT,1024,the_2,49,59.61020408163265,56.581319444444446,59.59070851081093,62.2190665374677
subject,BERT,1024,rat,50,60.528,58.20548611111111,60.62252961940541,62.875216836734694
subject,BERT,1024_1024_1024,the_1,44,29.865909090909092,26.61419452887538,29.88421351505763,33.17186046511628
subject,BERT,1024_1024_1024,cat,49,32.8795918367347,29.69912162162162,32.84271700037937,36.1397077294686
subject,BERT,1024_1024_1024,chased,47,25.73617021276596,22.438361191860466,25.74081452219534,29.04040625
subject,BERT,1024_1024_1024,the_2,43,26.151162790697676,22.35977450980392,26.12879095978461,29.908214285714287
subject,BERT,1024_1024_1024,rat,48,27.41875,24.61544717887155,27.414417428083308,30.269500887311448
subject,BERT,20_20_20,the_1,50,57.17,55.76567440711462,57.15803446080383,58.523473910840934
subject,BERT,20_20_20,cat,50,62.418,59.975119047619046,62.447848221420244,64.9345039893617
subject,BERT,20_20_20,chased,49,52.29387755102041,50.11481781376518,52.22873438010765,54.08611309077269
subject,BERT,20_20_20,the_2,50,48.822,47.43231725417439,48.81405188680359,50.286286945812805
subject,BERT,20_20_20,rat,50,46.686,44.925940476190476,46.65376421275631,48.30212740384615
subject,ELMo,1024,the_1,50,30.228,27.572142857142858,30.22288731955424,33.24366520633126
subject,ELMo,1024,cat,50,57.772,55.42086956521739,57.76876452052914,60.07147619047619
subject,ELMo,1024,chased,50,64.992,62.74553127772848,65.01224713175903,67.19641349721707
subject,ELMo,1024,the_2,49,29.787755102040816,26.570213362068962,29.843511791615317,32.897375510204085
subject,ELMo,1024,rat,48,17.429166666666667,15.07988775510204,17.3905485207228,19.657203647416416
subject,ELMo,1024_1024_1024,the_1,34,12.529411764705882,10.603145161290323,12.529639209880974,14.82436974789916
subject,ELMo,1024_1024_1024,cat,50,35.318,32.6321,35.27278233970494,37.76809726443769
