new
old
small
free
important
chief
chinese
official
future
female
fourth
federal
organization
older
irish
smaller
initial
scientific
scottish
organized
critical
focused
unique
imperial
nuclear
fun
oldest
criminal
fresh
negative
outstanding
folk
usual
impossible
improved
swiss
friendly
universal
offensive
ukrainian
odd
scared
smart
funny
useful
orthodox
clinical
ordinary
noble
slight
frozen
unsuccessful
impressive
uncredited
imprisoned
uncomfortable
swift
ugly
unexpected
uncertain
unconscious
frustrated
smallest
slim
useless
immortal
scots
feminine
scary
foul
uncertainty
unhappy
notorious
unnamed
overwhelmed
slick
icy
unnecessary
immense
iconic
newest
undefeated
uneasy
unpleasant
unseen
unfamiliar
imposing
overlooked
frightening
unmarried
undead
impatient
noticeable
unemployed
noteworthy
fluent
immaculate
unpopular
sculpted
unnatural
unpredictable
unacceptable
optimistic
scarred
outgoing
outspoken
unnoticed
stinging
novice
unarmed
unreliable
nocturnal
unpaid
needy
scholastic
chilly
childish
crippled
spirited
unaffected
flopped
impoverished
outrageous
smart
fledgling
outdated
childless
fluffy
ubiquitous
oppressive
imperfect
unfit
flourishing
